ts,sku,ChannelSlug,BrandSlug,PremiseType,TermsOfServiceTyp,ProductName,ProductSlug,StateSlug,Commodity,UtilitySlug,first_name,last_name,ServiceAddress1,zip_code,city,account_no,email,emailmarketing,confirm_number,order_status,allow_email_marketing,test_time,sap_number,
ts_12,gbfb53bb14a115bf,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,wmeco,Christine,wmeco,794498 Lauren Thompson St.,'01260,MILLERS FALLS,''315886370,aleksandr.malygin@nrg.com,emailmarketing,E1-9KL-NWA,completed,FALSE,_06_03_2020,7668805951,BACCTNUM is missing for WMECO
ts_13,gbfb53bb14a115bf,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,wmeco,Adam,wmeco,192156 Mary Robinson St.,'01260,SOUTH LEE,''387139453,bouncedmail@eccbounce.com,bouncedmail,E1-Z6R-QWM,completed,FALSE,_06_03_2020,7668805952,BACCTNUM is missing for WMECO
ts_21,g00164a75659d6e5,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,wmeco,Anthony,wmeco,780886 Paul Camacho St.,'01349,WEST CHESTERFIELD,''872784591,bouncedmail@eccbounce.com,bouncedmail,E1-PZ9-M95,completed,FALSE,_06_03_2020,7668805960,BACCTNUM is missing for WMECO
ts_19,gcfa81d59d2205c5,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,meco,Micheal,meco,400884 Stacey Hansen St.,'02536,Norfolk,''6480266082,aleksandr.malygin@nrg.com,emailmarketing,E1-EBQ-VQ7,completed,FALSE,_06_03_2020,7668805958,IDOC Processed Sucessfully.
ts_23,g1b2d4c2c0211803,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,meco,Benjamin,meco,313927 Michelle Phillips St.,'02145,MARBLEHEAD,''2501908730,aleksandr.malygin@nrg.com,emailmarketing,E1-765-Y5Q,completed,FALSE,_06_03_2020,7668805962,IDOC Processed Sucessfully.
ts_24,g256b835c0760f1b,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,wmeco,Angela,wmeco,836493 Austin Hill St.,'01349,SHUTESBURY,''826840513,aleksandr.malygin@nrg.com,no_email_mark,E1-9KL-NLK,completed,FALSE,_06_03_2020,7668805963,BACCTNUM is missing for WMECO
ts_15,gc0ffcbc2558eeb2,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,ngntkt,Joshua,ngntkt,248864 Andrea Sanchez St.,'02564,Nantucket,''4760796042,aleksandr.malygin@nrg.com,emailmarketing,E1-Y5R-QWE,completed,FALSE,_06_03_2020,7668805954,IDOC Processed Sucessfully.
ts_22,gfbf5efa5c066784,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,ngntkt,Heather,ngntkt,113517 Brittany Rivas St.,'02564,Nantucket,''2582980130,aleksandr.malygin@nrg.com,emailmarketing,E1-A46-N6W,completed,FALSE,_06_03_2020,7668805961,IDOC Processed Sucessfully.
ts_7,g00164a75659d6e5,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,wmeco,Eric,wmeco,873683 Paul Harvey St.,'01085,BRIDGEPORT,''718873561,aleksandr.malygin@nrg.com,emailmarketing,E1-WER-Q66,completed,FALSE,_06_03_2020,7668805931,BACCTNUM is missing for WMECO
ts_20,ge0e7c0a6970a2a0,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,come,Nathan,come,894791 Kenneth Martinez St.,'02740,New Bedford,''23393165982,aleksandr.malygin@nrg.com,emailmarketing,E1-KK6-P6R,completed,FALSE,_06_03_2020,7668805959,Error in creating CA
ts_8,g9e9fecc89399489,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,meco,Adam,meco,290853 Shannon Woods St.,'02056,DORCESTER,''4737789320,aleksandr.malygin@nrg.com,emailmarketing,E1-N7A-9LA,completed,FALSE,_06_03_2020,7668805936,Error in creating CA
ts_17,g1639eeb0379248e,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,come,Christina,come,947031 Mr. Joseph Bishop St.,'02740,New Bedford,''83933061746,aleksandr.malygin@nrg.com,emailmarketing,E1-BX6-Z5M,completed,FALSE,_06_03_2020,7668805956,Incorrect utility enrolled
ts_26,g35f6c2393a46774,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,come,Kathleen,come,977896 Joshua Knight St.,'02740,New Bedford,''34173458707,aleksandr.malygin@nrg.com,emailmarketing,E1-MAP-7PK,completed,FALSE,_06_03_2020,7668805965,Incorrect utility enrolled
ts_27,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Kara,comed,981906 Bryan Tanner St.,'62040,GRANITE CITY,''3069351206,aleksandr.malygin@nrg.com,no_email_mark,E1-Y5R-QRP,error,FALSE,_06_03_2020,,#N/A
ts_9,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Michael,comed,11434 Danielle Reyes St.,'60403,CREST HILL,''2496538594,aleksandr.malygin@nrg.com,no_email_mark,E1-PZ9-M6M,error,FALSE,_06_03_2020,,#N/A
ts_2,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Allison,peco,473250 Thomas Garcia St.,'19319,CHEYNEY,''1661382472,aleksandr.malygin@nrg.com,no_email_mark,E1-65Q-MWR,error,FALSE,_06_03_2020,,
ts_4,g66e737bf564b0bb,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,ngntkt,Catherine_2,ngntkt,129995 John Cruz St.,'02564,Nantucket,'4011406429,aleksandr.malygin@nrg.com,emailmarketing,E1-BX6-Z66,completed,FALSE,_06_03_2020,7668805981,IDOC Processed Sucessfully.
ts_20,ge0e7c0a6970a2a0,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,come,Cat_2,come,1291 Kenneth Martinez St.,'02740,EAST FREETOWN,'2011316598,aleksandr.malygin@nrg.com,emailmarketing,E1-EBQ-VQV,completed,FALSE,_06_03_2020,7668805983,Incorrect utility enrolled
ts_8,g9e9fecc89399489,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,meco,Ca_2,meco,120853 Shannon Woods St.,'02145,PEMBROKE,'4011789320,aleksandr.malygin@nrg.com,emailmarketing,E1-46B-9BP,completed,FALSE,_06_03_2020,7668805984,IDOC Processed Sucessfully.
ts_17,g1639eeb0379248e,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,come,Christina_2,come,127031 Mr. Joseph Bishop St.,'02740,WESTPORT,'8011306174,aleksandr.malygin@nrg.com,emailmarketing,E1-RPM-VMW,completed,FALSE,_06_03_2020,7668805985,Incorrect utility enrolled
ts_26,g35f6c2393a46774,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,come,Kathleen_2,come,127896 Joshua Knight St.,'02740,WEST WAREHAM,'3007345870,aleksandr.malygin@nrg.com,emailmarketing,E1-65Q-MQL,completed,FALSE,_06_03_2020,7668805986,Incorrect utility enrolled
ts_2,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Allison_2,peco,12250 Thomas Garcia St.,'19147,PHILADELPHIA,'1001382472,aleksandr.malygin@nrg.com,no_email_mark,E1-LPK-AKB,error,FALSE,_06_03_2020,,
ts_9,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Michael_2,comed,12434 Danielle Reyes St.,'60827,RIVERDALE,'2006538594,aleksandr.malygin@nrg.com,no_email_mark,E1-QKZ-YZ8,error,FALSE,_06_03_2020,,
ts_27,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Kara_2,comed,121906 Bryan Tanner St.,'61364,STREATOR,'3011351206,aleksandr.malygin@nrg.com,no_email_mark,E1-86L-VLQ,error,FALSE,_06_03_2020,,
ts_17,g1639eeb0379248e,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,come,Christina_2,come,127031 Mr. Joseph Bishop St.,'02740,New Bedford,'8099996174,aleksandr.malygin@nrg.com,emailmarketing,E1-65Q-MML,completed,FALSE,_06_03_2020,7668806029,
ts_26,g35f6c2393a46774,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,come,Kathleen_2,come,127896 Joshua Knight St.,'02740,New Bedford,'3099345870,aleksandr.malygin@nrg.com,emailmarketing,E1-LPK-AAB,completed,FALSE,_06_03_2020,7668806030,
ts_26,g35f6c2393a46774,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,come,Kathleen_2,come,127896 Joshua Knight St.,'02740,Springfield,'3559345870,aleksandr.malygin@nrg.com,emailmarketing,E1-5LX-ZZP,completed,FALSE,_06_03_2020,7668806038,
ts_26,g35f6c2393a46774,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,come,Kathleen_2,come,127896 Joshua Knight St.,'02740,Springfield,'44569345870,aleksandr.malygin@nrg.com,emailmarketing,E1-N7A-9R8,completed,FALSE,_06_03_2020,7668806043,IDOC Processed Sucessfully.
