ts,sku,ChannelSlug,BrandSlug,PremiseType,TermsOfServiceTyp,ProductName,ProductSlug,StateSlug,Commodity,UtilitySlug,first_name,last_name,ServiceAddress1,zip_code,city,account_no,email,emailmarketing,confirm_number,order_status,allow_email_marketing,sap_number
ts_282,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Virginia,peco,933034 Andre Glenn St.,'19366,POCOPSON,'8192514763,bouncedmail@eccbounce.com,bounce,E1-VZX-DWZ,error,false,
ts_295,g04806563c0ff681,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,md,electric,pepco,Dalton,pepco,362854 Alice Hodge St.,'02906,SILVER SPRINGS,'05798128865116003185717,bouncermail@eccbounced.com,bounce,E1-BX6-V47,completed,false,0000007668805362
ts_15,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Joshua,comed,639444 Jordan Jordan St.,'60047,,'8012668635,no@nrg.com,no_email_mark,E1-EBQ-EWR,error,false,
ts_16,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Katelyn,comed,519873 Robert Phillips St.,'61021,,'1570704713,aleksandr.malygin@nrg.com,emailmarketing,E1-46B-DQN,error,false,
ts_65,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Rachel,comed,407727 Stephen Guzman St.,'60433,,'2848983308,no@nrg.com,no_email_mark,E1-RPM-DWM,error,false,
ts_66,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Andrew,comed,117002 Lisa Jones St.,'60540,,'4561568381,aleksandr.malygin@nrg.com,emailmarketing,E1-65Q-DKD,error,false,
ts_78,g5277877c9b61f54,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ny,electric,rge,Patricia,rge,902019 Diana Hall St.,'14551,,'R01826877672824,aleksandr.malygin@nrg.com,emailmarketing,E1-LPK-MWA,completed,false,0000007668805371
ts_81,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,April,peco,598026 Danielle Sullivan St.,'19030,,'8956225627,no@nrg.com,no_email_mark,E1-QKZ-EWA,error,false,
ts_82,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Joseph,peco,37117 Vincent Kemp St.,'18084,,'9764335691,aleksandr.malygin@nrg.com,emailmarketing,E1-86L-DAA,error,false,
ts_143,ga4baeb16b2f8c3b,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12,ny,electric,rge,Janet,rge,21457 Whitney Gutierrez St.,'13074,,'R01654525932454,no@nrg.com,no_email_mark,E1-DVL-N6R,completed,false,0000007668805372
ts_233,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Cassandra,comed,634340 Gabriel Ryan St.,'60165,,'5197334794,thiswillbounce@thisbounces.com,bounce,E1-5LX-DQ7,error,false,
ts_234,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Tracy,comed,509370 William Meadows St.,'60542,,'1686078106,bouncedmail@eccbounce.com,bounce,E1-WER-W8Z,error,false,
ts_282,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Jason,peco,880832 Jon Roberts St.,'19103,,'4088288110,bouncedmail@eccbounce.com,bounce,E1-N7A-VWK,error,false,
ts_295,g04806563c0ff681,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,md,electric,pepco,Katie,pepco,876642 Steven Davidson St.,'21015,,'05738823916557980101797,bouncermail@eccbounced.com,bounce,E1-KK6-ZWM,completed,false,0000007668805373
ts_6,g04806563c0ff681,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,md,electric,pepco,Melissa,pepco,696786 Thomas Dominguez St.,'21208,PIKESVILLE,'05907252429950655754292,aleksandr.malygin@nrg.com,emailmarketing,E1-PZ9-XWR,completed,false,0000007668805376
ts_15,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Philip,comed,810359 Tammy Lewis St.,'60039,CRYSTAL LAKE,'1996875419,no@nrg.com,no_email_mark,E1-A46-YX7,error,false,
ts_65,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,David,comed,524136 Courtney Martin St.,'60643,CHICAGO,'2728490783,no@nrg.com,no_email_mark,E1-765-DKR,error,false,
ts_66,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Brandon,comed,217553 Rhonda Lewis St.,'62049,HILLSBORO,'9347177750,aleksandr.malygin@nrg.com,emailmarketing,E1-9KL-DA5,error,false,
ts_81,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Philip,peco,600473 Karen Dunn St.,'19430,CREAMERY,'7329739925,no@nrg.com,no_email_mark,E1-Z6R-D75,error,false,
ts_82,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Jennifer,peco,904053 Austin Gray St.,'19034,FORT WASHINGTON,'4019276642,aleksandr.malygin@nrg.com,emailmarketing,E1-MAP-NMZ,error,false,
ts_233,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Cathy,comed,879605 Jose Novak DDS St.,'60018,DES PLAINES,'1462367340,thiswillbounce@thisbounces.com,bounce,E1-Y5R-DAV,error,false,
ts_234,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Michelle,comed,110876 Jeffrey Martinez St.,'60045,LAKE FOREST,'2559803557,bouncedmail@eccbounce.com,bounce,E1-VZX-DLZ,error,false,
ts_282,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Christine,peco,489453 Brad Page St.,'19037,GLEN RIDDLE,'9672532972,bouncedmail@eccbounce.com,bounce,E1-BX6-VE7,error,false,
ts_15,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Tony,comed,954646 Traci Flores St.,'60039,CRYSTAL LAKE,'6960048011,no@nrg.com,no_email_mark,E1-XER-DP7,error,false,
ts_16,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Jerry,comed,578349 Holly Contreras St.,'60187,WHEATON,'7799732617,aleksandr.malygin@nrg.com,emailmarketing,E1-EBQ-E6R,error,false,
ts_65,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Peter,comed,921169 Corey Buck St.,'60462,ORLAND PARK,'2515587278,no@nrg.com,no_email_mark,E1-46B-DRN,error,false,
ts_66,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Jillian,comed,472830 Jenna Woodward St.,'60643,CHICAGO,'7413190137,aleksandr.malygin@nrg.com,emailmarketing,E1-RPM-DEM,error,false,
ts_81,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Karen,peco,928861 Timothy Robertson St.,'19319,CHEYNEY,'3682349084,no@nrg.com,no_email_mark,E1-65Q-DLD,error,false,
ts_82,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Peter,peco,790025 Joanna Adkins St.,'19319,CHEYNEY,'1252360196,aleksandr.malygin@nrg.com,emailmarketing,E1-LPK-MNA,error,false,
ts_233,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Robin,comed,828885 Kenneth Dickerson St.,'60612,CHICAGO,'5346557299,thiswillbounce@thisbounces.com,bounce,E1-QKZ-EXA,error,false,
ts_234,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Emily,comed,827975 Bianca Gross St.,'60462,ORLAND PARK,'7649102235,bouncedmail@eccbounce.com,bounce,E1-86L-DPA,error,false,
ts_39,g256b835c0760f1b,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,wmeco,Jacqueline,wmeco,804953 Brittney Espinoza St.,'01349,SOUTH LEE,'243680144,no@nrg.com,no_email_mark,E1-DVL-NRR,completed,false,0000007668805377
ts_47,g2af2aaca2250150,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,camb,Jessica,camb,949789 Veronica Cox St.,'02445,Brookline,'25341394052,no@nrg.com,no_email_mark,E1-WER-WKZ,completed,false,0000007668805379
ts_57,g35f6c2393a46774,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,come,Michael,come,355809 Antonio Mills St.,'02740,New Bedford,'24081870009,no@nrg.com,no_email_mark,E1-N7A-VYK,completed,false,0000007668805380
ts_87,g66e737bf564b0bb,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,ngntkt,Brandi,ngntkt,493819 Misty Johnson St.,'02584,Nantucket,'9830079706,no@nrg.com,no_email_mark,E1-KK6-Z9M,completed,false,0000007668805381
ts_88,g66e737bf564b0bb,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,ngntkt,Anna,ngntkt,906230 Edward Cameron St.,'02584,Nantucket,'6463757115,aleksandr.malygin@nrg.com,emailmarketing,E1-PZ9-XBR,completed,false,0000007668805382
ts_183,gcfa81d59d2205c5,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,meco,Linda,meco,239416 Crystal Martin St.,'02536,HULL,'8857886531,no@nrg.com,no_email_mark,E1-A46-YL7,completed,false,0000007668805383
ts_207,gfbf5efa5c066784,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,ngntkt,Karen,ngntkt,274341 Pamela Frazier St.,'02584,Nantucket,'6002574156,no@nrg.com,no_email_mark,E1-765-DNR,completed,false,0000007668805384
ts_213,g03408ca6381de99,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,md,electric,apmd,Justin,apmd,54386 Melissa Trujillo St.,'21791,UNION BRIDGE,'08349575552880317738,thiswillbounce@thisbounces.com,bounce,E1-9KL-DY5,completed,false,0000007668805385
ts_214,g08814fc767b398d,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,md,electric,apmd,Robert,apmd,770886 Michael Espinoza St.,'21774,NEW MARKET,'08493181935857595835,bouncedmail@eccbounce.com,bounce,E1-Z6R-DM5,completed,false,0000007668805386
ts_215,g60baa8b8f77e084,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,beco,Anthony,beco,152798 Makayla Cross St.,'02056,SPRINGFIELD,'69352981718,bouncermail@eccbounced.com,bounce,E1-MAP-NXZ,completed,false,0000007668805387
ts_216,gb1531b7eeccc3b0,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,beco,Brian,beco,229992 Sean Orozco St.,'02453,SPRINGFIELD,'30858358675,bouncy@mcbounceface.com,bounce,E1-Y5R-DZV,completed,false,0000007668805388
ts_217,gcf5cca78ab18177,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,beco,Lori,beco,761452 Gregory Ray St.,'02453,SPRINGFIELD,'36640786433,thiswillbounce@thisbounces.com,bounce,E1-VZX-DAZ,completed,false,0000007668805389
ts_218,g3aceddb6123c21f,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,md,electric,bge,Jeffrey,bge,56669 Kathy Bryant St.,'21041,ELLICOTT CITY,'8995702890,bouncedmail@eccbounce.com,bounce,E1-BX6-VQ7,completed,false,0000007668805390
ts_220,g91a4be5063e374e,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,md,electric,bge,Jay,bge,508572 Lauren Bentley St.,'21274,BALTIMORE,'4704409606,bouncy@mcbounceface.com,bounce,E1-XER-D97,completed,false,0000007668805391
ts_221,gbd2cc125c6f6e61,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,md,electric,bge,Taylor,bge,176621 Ashley Conway St.,'21132,PYLESVILLE,'6774839287,thiswillbounce@thisbounces.com,bounce,E1-EBQ-EAR,completed,false,0000007668805392
ts_223,g2af2aaca2250150,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,camb,Micheal,camb,454472 Kimberly Scott St.,'02445,Brookline,'60903289365,bouncermail@eccbounced.com,bounce,E1-46B-DAN,completed,false,0000007668805393
ts_224,g953b30c2dc2b803,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,camb,Kimberly,camb,821335 Jimmy King St.,'02445,Brookline,'53258317224,bouncy@mcbounceface.com,bounce,E1-RPM-DLM,completed,false,0000007668805394
ts_225,gc25b92975f0dc97,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,camb,Greg,camb,449883 Jackie Garcia St.,'02445,Brookline,'36509262444,thiswillbounce@thisbounces.com,bounce,E1-65Q-D9D,completed,false,0000007668805395
ts_226,g40d7b9b923a8b51,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12,ny,electric,chu,Kristin,chu,462015 Randy Harris St.,'11101,LONG ISLAND CITY,'7720114782,bouncedmail@eccbounce.com,bounce,E1-LPK-MBA,completed,false,0000007668805396
ts_227,g4c4f93f13da0897,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ny,electric,chu,Patrick,chu,33784 Allison Ramos St.,'11030,MANHASSET,'3255118525,bouncermail@eccbounced.com,bounce,E1-QKZ-E6A,completed,false,0000007668805397
ts_228,g9aa7b76a2b0e830,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate,ny,electric,chu,Elizabeth,chu,121601 Christopher Dickson St.,'11030,MANHASSET,'5059537164,bouncy@mcbounceface.com,bounce,E1-86L-DMA,completed,false,0000007668805398
ts_229,gd6f23afc4c9bdeb,web,green_mountain_energy,residential,fixed,Pollution Free 24,pollution_free_24,ny,electric,chu,Jessica,chu,308878 Nicole Floyd St.,'11030,MANHASSET,'5649825688,thiswillbounce@thisbounces.com,bounce,E1-DVL-NPR,completed,false,0000007668805399
ts_230,g1639eeb0379248e,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,come,Michelle,come,55802 Alexander Klein St.,'02740,New Bedford,'61608591210,bouncedmail@eccbounce.com,bounce,E1-5LX-D77,completed,false,0000007668805400
ts_231,g35f6c2393a46774,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,come,Donald,come,273019 Timothy Pitts St.,'02740,New Bedford,'72624513437,bouncermail@eccbounced.com,bounce,E1-WER-W7Z,completed,false,0000007668805401
ts_233,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Nancy,comed,564194 Lisa Delgado St.,'60612,CHICAGO,'5409088462,thiswillbounce@thisbounces.com,bounce,E1-KK6-ZVM,error,false,
ts_234,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Kevin,comed,570250 Scott Hughes St.,'60462,ORLAND PARK,'9518527241,bouncedmail@eccbounce.com,bounce,E1-PZ9-XNR,error,false,
ts_235,g964164056bba972,web,green_mountain_energy,residential,fixed,GNERFIX,rate_category,il,electric,comed,John,comed,533313 Adam Allen St.,'61311,ANCONA,'6977159633,bouncermail@eccbounced.com,bounce,E1-A46-YP7,completed,false,0000007668805407
ts_236,g9b6ea65dc23ad43,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,il,electric,comed,Jonathan,comed,286840 Brenda Giles St.,'61027,ELEROY,'6315971144,bouncy@mcbounceface.com,bounce,E1-765-DBR,completed,false,0000007668805408
ts_237,gce538106da22036,web,green_mountain_energy,residential,variable,GNERVAR,rate_category,il,electric,comed,John,comed,226294 Nancy Smith St.,'60074,PALATINE,'9603765015,thiswillbounce@thisbounces.com,bounce,E1-9KL-DE5,completed,false,0000007668805409
ts_238,gfa60b412d811a3b,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,il,electric,comed,Jeffrey,comed,361959 Robin Boyle St.,'60914,BOURBONNAIS,'5387155585,bouncedmail@eccbounce.com,bounce,E1-Z6R-DV5,completed,false,0000007668805410
ts_239,gfe081aa8f5b79d6,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,il,electric,comed,James,comed,315608 Sarah Waters St.,'60018,DES PLAINES,'7579032976,bouncermail@eccbounced.com,bounce,E1-MAP-NRZ,completed,false,0000007668805411
ts_240,g1a131670769dc76,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate_wc,ny,electric,coned,Jessica,coned,674838 Michael Silva St.,'11701,AMITYVILLE,'211567935005336,bouncy@mcbounceface.com,bounce,E1-Y5R-DYV,completed,false,0000007668805412
ts_241,g1e7ac87aadea386,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12_wc,ny,electric,coned,Carlos,coned,658450 Stephanie Stone St.,'11701,AMITYVILLE,'971997525218096,thiswillbounce@thisbounces.com,bounce,E1-VZX-DNZ,completed,false,0000007668805413
ts_242,g201d199281dea05,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate_wc,ny,electric,coned,Monique,coned,531522 Leslie Deleon St.,'11566,MERRICK,'575742068247677,bouncedmail@eccbounce.com,bounce,E1-BX6-VA7,completed,false,0000007668805414
ts_243,g2e8f2b715ccfac7,web,green_mountain_energy,residential,fixed,Pollution Free 24,pollution_free_24,ny,electric,coned,Arthur,coned,438042 Tyler Boone St.,'11701,AMITYVILLE,'824833385341204,bouncermail@eccbounced.com,bounce,E1-XER-DM7,completed,false,0000007668805415
ts_244,g329bf77638fca60,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12,ny,electric,coned,Kelly,coned,100947 Curtis Barnes St.,'11266,BROOKLYN,'143355972214327,bouncy@mcbounceface.com,bounce,E1-EBQ-EZR,completed,false,0000007668805416
ts_245,g335a9647480b1a5,web,green_mountain_energy,residential,fixed,Pollution Free 24,pollution_free_24_wc,ny,electric,coned,Mark,coned,393290 Bobby Johnson St.,'11701,AMITYVILLE,'734947443605684,thiswillbounce@thisbounces.com,bounce,E1-46B-DMN,completed,false,0000007668805417
ts_246,g354fe7596fdd458,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12_wc,ny,electric,coned,James,coned,278432 Benjamin Davis St.,'11566,MERRICK,'619362040759810,bouncedmail@eccbounce.com,bounce,E1-RPM-DKM,completed,false,0000007668805418
ts_247,g8557d0b669a214c,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate_wc,ny,electric,coned,Lance,coned,850687 Martha Anderson St.,'11701,AMITYVILLE,'880937892597091,bouncermail@eccbounced.com,bounce,E1-65Q-DVD,completed,false,0000007668805419
ts_248,g88071b958c8e93c,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate,ny,electric,coned,John,coned,331656 Shelby Lopez St.,'11701,AMITYVILLE,'624866811672256,bouncy@mcbounceface.com,bounce,E1-LPK-M4A,completed,false,0000007668805420
ts_249,g9029856dd411fd0,web,green_mountain_energy,residential,fixed,Pollution Free 24,pollution_free_24_wc,ny,electric,coned,John,coned,790709 Lance Bryant St.,'11566,MERRICK,'986943037032239,thiswillbounce@thisbounces.com,bounce,E1-QKZ-E8A,completed,false,0000007668805421
