ts,PremiseType,sku,BrandSlug,ChannelSlug,ProductName,TermsOfServiceTyp,account_no,first_name,last_name,UtilitySlug,Commodity,ServiceAddress1,ServiceAddress2,city,StateSlug,zip_code,email,emailmarketing,sap_conf_,uan_number,time_for_csv_report,sap_enrollment_conf_,epenet_check,test_status,,
ts_11,residential,g686128d40716cc0,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'08674522978685120930,Jordan,Weeks,te,electric,94690 Brooke Willis St.,,Toledo,OH,'43614,JordanWeeks@testnrg.com,no_email_mark,E1-J96-57K,'08674522978685120930,5/1/2020,'0000007556870241,n/a,Passed,7556870241,IDOC Processed Sucessfully.
ts_12,residential,g686128d40716cc0,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'08159145922870456881,Kirk,Ryan,te,electric,935765 Lauren Graves St.,,RUDOLPH,OH,'43462,KirkRyan@testnrg.com,emailmarketing,E1-JZ5-98L,'08159145922870456881,5/1/2020,'0000007556870242,n/a,Passed,7556870242,IDOC Processed Sucessfully.
ts_13,residential,g6ee86f2cc56568d,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'0004261376712271857740,James,Fox,aepn,electric,981388 Suzanne Davis St.,,BLACKLICK,OH,'43004,JamesFox@testnrg.com,no_email_mark,E1-JM9-EWK,'00042613767122718577,5/1/2020,'0000007556870243,n/a,Passed,7556870243,IDOC Processed Sucessfully.
ts_14,residential,g6ee86f2cc56568d,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'0004155289905683294937,Ashley,Reed,aepn,electric,977641 Mark Garcia St.,,LIMA,OH,'45805,AshleyReed@testnrg.com,emailmarketing,E1-GY4-B8P,'00041552899056832949,5/1/2020,'0000007556870244,n/a,Passed,7556870244,Incorrect utility enrolled
ts_15,residential,g823b1dc7c926b8b,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'08226867835539741469,Maxwell,Jones,dukeoh,electric,815346 Alicia Gross St.,,MECHANICSBURG,OH,'43044,MaxwellJones@testnrg.com,no_email_mark,E1-GVB-KW6,'08226867835,5/1/2020,'0000007556870245,n/a,Passed,7556870245,IDOC Processed Sucessfully.
ts_16,residential,g823b1dc7c926b8b,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'08262924438475281292,Garrett,Miller,dukeoh,electric,130656 Joe Fitzgerald St.,,LAKEWOOD,OH,'44107,GarrettMiller@testnrg.com,emailmarketing,E1-JBK-946,'08262924438,5/1/2020,'0000007556870246,n/a,Passed,7556870246,IDOC Processed Sucessfully.
ts_17,residential,g8967d6063b32f67,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'0004466578333231756354,Melissa,Carter,aeps,electric,773889 Veronica Frey St.,,CANTON,OH,'44705,MelissaCarter@testnrg.com,no_email_mark,E1-GXY-W8D,'00040044665783332,5/1/2020,'0000007556870247,n/a,Passed,7556870247,IDOC Processed Sucessfully.
ts_18,residential,g8967d6063b32f67,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'0004560820622063329629,Ryan,Williams,aeps,electric,629010 Lori Franco St.,,CANTON,OH,'44705,RyanWilliams@testnrg.com,emailmarketing,E1-GEY-PWV,'00040045608206220,5/1/2020,0000007556870383,n/a,Passed,7556870383,IDOC Processed Sucessfully.
ts_20,residential,g8d41fa1d09d4c56,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'0004693189641507391127,Christopher,Berger,aepn,electric,306413 Carly Contreras St.,,CLEVELAND,OH,'44110,ChristopherBerger@testnrg.com,emailmarketing,E1-G4L-EQP,'00040046931896415,5/1/2020,0000007556872399,n/a,Passed,7556872399,Incorrect utility enrolled
ts_21,residential,gb5ad51b7adf7c0d,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'08348769301852352599,Timothy,Mays,dukeoh,electric,62246 Michael Hill St.,,SOUTH LEBANON,OH,'45065,TimothyMays@testnrg.com,no_email_mark,E1-JRQ-4WW,'08348769301,5/1/2020,'0000007556872400,n/a,Passed,7556872400,IDOC Processed Sucessfully.
ts_22,residential,gb5ad51b7adf7c0d,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'08358772774818135267,James,White,dukeoh,electric,569689 Paul Harper St.,,GATES MILLS,OH,'44040,JamesWhite@testnrg.com,emailmarketing,E1-G6E-YKL,'08358772774,5/1/2020,'0000007556872401,n/a,Passed,7556872401,IDOC Processed Sucessfully.
ts_23,residential,gbeb76471e761c21,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'08975504142747858824,Claudia,White,te,electric,177772 Elizabeth Mcintyre St.,,Toledo,OH,'43614,ClaudiaWhite@testnrg.com,no_email_mark,E1-JL9-6WB,'08975504142747858824,5/1/2020,'0000007556872402,n/a,Passed,7556872402,IDOC Processed Sucessfully.
ts_24,residential,gbeb76471e761c21,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'08464662560116596018,Richard,Jenkins,te,electric,28092 Ashley Evans St.,,RUDOLPH,OH,'43462,RichardJenkins@testnrg.com,emailmarketing,E1-JQM-NW8,'08464662560116596018,5/1/2020,'0000007556872403,n/a,Passed,7556872403,IDOC Processed Sucessfully.
ts_25,residential,gcedbfe02b461b83,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'0004913669208280584816,Deborah,Hughes,aeps,electric,699120 Nathan Anderson St.,,LOGAN,OH,'43138,DeborahHughes@testnrg.com,no_email_mark,E1-J8E-4AQ,'00049136692082805848,5/1/2020,'0000007556872404,n/a,Passed,7556872404,IDOC Processed Sucessfully.
ts_26,residential,gcedbfe02b461b83,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'0004457772051613640875,Michael,Ford,aeps,electric,215692 Ann Walters St.,,FRANKFORT,OH,'45628,MichaelFord@testnrg.com,emailmarketing,E1-GDA-K65,'00044577720516136408,5/1/2020,'0000007556872405,n/a,Passed,7556872405,IDOC Processed Sucessfully.
ts_27,residential,gf6c61e401efb7a1,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'0004579861904289501995,Connie,Roberts,aepn,electric,972230 Lisa Holland St.,,DESHLER,OH,'43516,ConnieRoberts@testnrg.com,no_email_mark,E1-G54-BQP,'00040045798619042,5/1/2020,'0000007556872406,n/a,Passed,7556872406,Incorrect utility enrolled
ts_28,residential,gf6c61e401efb7a1,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'0004348538630816454719,Sandra,Boyd,aepn,electric,973565 Matthew Gibson St.,,CLEVELAND,OH,'44110,SandraBoyd@testnrg.com,emailmarketing,E1-JW9-PK4,'00040043485386308,5/1/2020,'0000007556872407,n/a,Passed,7556872407,Incorrect utility enrolled
ts_29,residential,gf89d0d16d6dd4f7,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'08936239871396922363,Christopher,Huber,dpl,electric,933695 Sarah Costa St.,,Fort Recovery,OH,'45846,ChristopherHuber@testnrg.com,no_email_mark,E1-JN5-DY8,'0893623987,5/1/2020,'0000007556872409,n/a,Passed,7556872409,IDOC Processed Sucessfully.
ts_30,residential,gf89d0d16d6dd4f7,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'08648850575348815744,Christina,Raymond,dpl,electric,881186 Jennifer Curry St.,,Dayton,OH,'45402,ChristinaRaymond@testnrg.com,emailmarketing,E1-JK5-R9R,'0864885057,5/1/2020,0000007556872410,n/a,Passed,7556872410,IDOC Processed Sucessfully.
ts_19,residential,g8d41fa1d09d4c56,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'0004975439688498819318,Carla,Burgess,aepn,electric,27606 Elizabeth Rogers St.,,BROWNSVILLE,OH,'43721,CarlaBurgess@testnrg.com,no_email_mark,E1-JRQ-4EW,'00040049754396884,5/1/2020,0000007556872563,n/a,Passed,7556872563,"No filters, No conversion, No version change."
