accountid,EPNetId,type,brandslug,contractid,contractaccountid,insertdate,NotificationMethod,CorrespondenceRequestId,S3OutputPath,SentAt,InsertDate,SentTo,CorrespondenceRequestPath,CorrespondenceType
3846487,3002614,epnet,green_mountain_energy,,,2020-02-10 14:27:56.963000,email,faeee4c4-57c3-4753-871f-ad75c8b5d47c,s3://nrg-portal-pt/accounts/epnet/3002614/correspondence/welcome/faeee4c4-57c3-4753-871f-ad75c8b5d47c/,2020-02-10 14:32:31,2020-02-10 14:30:57.313000,Alex_02_10_2020_09_27_12_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/faeee4c4-57c3-4753-871f-ad75c8b5d47c.json,welcome
3846490,3002615,epnet,green_mountain_energy,,,2020-02-10 14:28:52.920000,email,80895160-a854-4d98-a677-5afff701b0c7,s3://nrg-portal-pt/accounts/epnet/3002615/correspondence/welcome/80895160-a854-4d98-a677-5afff701b0c7/,2020-02-10 14:32:31,2020-02-10 14:30:58.220000,Alex_02_10_2020_09_28_05_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/80895160-a854-4d98-a677-5afff701b0c7.json,welcome
3846493,3002616,epnet,green_mountain_energy,,,2020-02-10 14:29:47.857000,email,2a10325d-b90e-4e90-b78d-28c3076488f0,s3://nrg-portal-pt/accounts/epnet/3002616/correspondence/welcome/2a10325d-b90e-4e90-b78d-28c3076488f0/,2020-02-10 14:32:31,2020-02-10 14:30:58.983000,Alex_02_10_2020_09_28_59_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/2a10325d-b90e-4e90-b78d-28c3076488f0.json,welcome
3846496,3002617,epnet,green_mountain_energy,,,2020-02-10 14:30:48.640000,email,56ca15a1-b907-4ba8-9059-f99622df2177,s3://nrg-portal-pt/accounts/epnet/3002617/correspondence/welcome/56ca15a1-b907-4ba8-9059-f99622df2177/,2020-02-10 14:42:31,2020-02-10 14:41:06.887000,Alex_02_10_2020_09_29_55_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/56ca15a1-b907-4ba8-9059-f99622df2177.json,welcome
3846499,3002618,epnet,green_mountain_energy,,,2020-02-10 14:31:49.690000,email,e4b6d075-057a-49b7-9dab-d27d7635bc29,s3://nrg-portal-pt/accounts/epnet/3002618/correspondence/welcome/e4b6d075-057a-49b7-9dab-d27d7635bc29/,2020-02-10 14:42:31,2020-02-10 14:41:10.310000,Alex_02_10_2020_09_30_34_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/e4b6d075-057a-49b7-9dab-d27d7635bc29.json,welcome
3846502,3002619,epnet,green_mountain_energy,,,2020-02-10 14:33:51.863000,email,5bca24e0-e0dd-4123-9f3b-ecc1f49c9f98,s3://nrg-portal-pt/accounts/epnet/3002619/correspondence/welcome/5bca24e0-e0dd-4123-9f3b-ecc1f49c9f98/,2020-02-10 14:42:31,2020-02-10 14:41:08.560000,Alex_02_10_2020_09_32_35_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/5bca24e0-e0dd-4123-9f3b-ecc1f49c9f98.json,welcome
3846505,3002620,epnet,green_mountain_energy,,,2020-02-10 14:34:55.943000,email,e30743ca-4a8e-468c-be0e-6de2dac7d302,s3://nrg-portal-pt/accounts/epnet/3002620/correspondence/welcome/e30743ca-4a8e-468c-be0e-6de2dac7d302/,2020-02-10 14:42:31,2020-02-10 14:41:12.170000,Alex_02_10_2020_09_33_28_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/e30743ca-4a8e-468c-be0e-6de2dac7d302.json,welcome
3846487,3002614,epnet,green_mountain_energy,,,2020-02-10 14:27:56.963000,email,faeee4c4-57c3-4753-871f-ad75c8b5d47c,s3://nrg-portal-pt/accounts/epnet/3002614/correspondence/welcome/faeee4c4-57c3-4753-871f-ad75c8b5d47c/,2020-02-10 14:32:31,2020-02-10 14:30:57.313000,Alex_02_10_2020_09_27_12_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/faeee4c4-57c3-4753-871f-ad75c8b5d47c.json,welcome
3846490,3002615,epnet,green_mountain_energy,,,2020-02-10 14:28:52.920000,email,80895160-a854-4d98-a677-5afff701b0c7,s3://nrg-portal-pt/accounts/epnet/3002615/correspondence/welcome/80895160-a854-4d98-a677-5afff701b0c7/,2020-02-10 14:32:31,2020-02-10 14:30:58.220000,Alex_02_10_2020_09_28_05_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/80895160-a854-4d98-a677-5afff701b0c7.json,welcome
3846493,3002616,epnet,green_mountain_energy,,,2020-02-10 14:29:47.857000,email,2a10325d-b90e-4e90-b78d-28c3076488f0,s3://nrg-portal-pt/accounts/epnet/3002616/correspondence/welcome/2a10325d-b90e-4e90-b78d-28c3076488f0/,2020-02-10 14:32:31,2020-02-10 14:30:58.983000,Alex_02_10_2020_09_28_59_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/2a10325d-b90e-4e90-b78d-28c3076488f0.json,welcome
