payload.ts,payload.brand,payload.StateSlug,payload.state,payload.account_type_1,payload.type,	payload.UtilitySlug,payload.categorie_1,accountNo,payload.account_type_2,payload.UtilitySlug_2,payload.categorie_2,accountNo_2,zipcode_,city,email,address,firstname,lastname,email,confcode,Status
ts_10,NRG,MA,Massachusetts,Electric,Residential,WMECO,MA State Shopping Site Plan 12 month,'131848767,,,,,'01237,LANESBORO,159230 Larry Potts St.,Gina,Powers,Gina@testnrg.com,no_email,25e3b3f,passed
ts_11,GME,PA,Pennsylvania,Electric,Residential,duq,Pollution Free Reliable Rate,'1524162897571,Gas,PECO-GAS,Carbon Conscious plan,5820558149,'15236,PITTSBURGH,547562 Robert Duncan St.,Debbie,Delgado,Debbie@testnrg.com,no_email,8a4b6ee,passed
ts_13,NRG,IL,Illinois,Gas,Residential,Nicor,Carbon Offset Plan,'1304381644,,,,,'61941,Murdock,770048 Sarah Calhoun St.,Daisy,Jones,Daisy@testnrg.com,no_email,b2ac06b,passed
ts_14,NRG,OH,Ohio,Electric,Residential,dpl,24M Price Lock Plan,'9410499806,,,,,'21803,SALISBURY,925725 Beth Mays St.,Janice,Owens,Janice@testnrg.com,no_email,0e777e5,passed
ts_15,Cirro,PA,Pennsylvania,Electric,Residential,PPL,Smart Flex PS,'7047637010,,,,,'18425,GREELEY,296140 Jon Bradshaw St.,Anna,Smith,Anna@testnrg.com,no_email,6331cfb,passed
ts_17,NRG,IL,Illinois,Gas,Residential,peopgas,Carbon Offset Plan,'6469719539976,,,,,'60402,BERWYN,951551 Jonathan Higgins St.,David,Cruz,David@testnrg.com,no_email,eb50f20,passed
ts_15,GME,MA,Massachusetts,Electric,Residential,beco,Pollution Free Reliable Rate,'97775869506,,,,,'02107,Boston,412927 Heather Perez St.,Courtney,Perry,Courtney@testnrg.com,no_email,4304073,passed
ts_16,NRG,IL,Illinois,Gas,Residential,peopgas,Carbon Offset Plan,'1577576775529,,,,,'60402,BERWYN,419587 Matthew Watson St.,Christopher,Peters,Christopher@testnrg.com,no_email,6cea432,passed
ts_17,NRG,PA,Pennsylvania,Electric,Residential,PECO,The Cash Back Plan,'8647168957,Gas,PECO Gas,Carbon Offset Plan,1790771247,'18956,RUSHLAND,171149 Leon Perez St.,Lauren,Miller,Lauren@testnrg.com,no_email,6224057,passed
ts_18,GME,MD,Maryland,Electric,Residential,BGE,Pollution Free Reliable Rate,'6090777763,,,,,'20850,ROCKVILLE,364392 Michael Rogers St.,Michael,Collier,Michael@testnrg.com,no_email,c1e7555,passed
ts_19,GME,PA,Pennsylvania,Electric,Residential,MetEd,Pollution Free Reliable Rate,'08583426635306663731,,,,,'17361,SHREWSBURY,790994 Lori James St.,Becky,Heath,Becky@testnrg.com,no_email,e44bb59,passed
